timestamps,TP9,AF7,AF8,TP10,Right AUX
1678793441.054,47.852,51.270,86.914,26.855,50.293
1678793441.058,33.203,70.312,105.957,-74.707,57.617
1678793441.062,-6.348,64.941,91.797,-70.312,41.016
1678793441.066,-3.906,55.176,70.801,53.223,-4.883
1678793441.070,41.016,46.875,73.730,121.582,12.695
1678793441.074,68.848,46.387,80.566,48.340,36.621
1678793441.078,46.875,63.965,89.355,-59.570,13.184
1678793441.082,18.066,74.219,90.332,-47.852,2.441
1678793441.086,40.527,74.707,73.242,83.008,22.949
1678793441.090,93.750,70.312,66.895,178.223,-0.488
1678793441.093,109.863,70.801,72.266,108.398,-12.207
1678793441.097,107.910,65.918,73.730,-6.836,35.156
1678793441.101,97.168,48.828,83.008,22.949,30.762
1678793441.105,90.820,34.668,82.031,129.883,-4.883
1678793441.109,104.004,35.156,66.406,195.801,-11.719
1678793441.113,125.000,34.668,67.383,144.531,4.395
1678793441.117,130.859,40.039,80.566,24.902,21.973
1678793441.121,88.379,53.223,88.867,2.441,27.832
1678793441.125,68.359,58.105,84.961,102.539,46.875
1678793441.129,97.168,47.363,72.266,193.359,40.527
1678793441.133,123.047,40.039,68.848,158.203,36.133
1678793441.137,125.000,49.805,83.496,41.016,40.039
1678793441.141,99.121,64.941,90.820,-11.719,-0.488
1678793441.144,70.312,64.453,83.008,52.734,-3.906
1678793441.148,82.520,54.688,86.914,173.340,74.219
1678793441.152,87.891,51.758,80.078,148.926,71.777
1678793441.156,78.613,48.828,78.125,5.859,13.672
1678793441.160,50.293,47.363,88.379,-50.781,26.855
1678793441.164,30.762,42.480,76.660,20.996,72.754
1678793441.168,51.758,35.156,68.359,124.512,21.484
1678793441.172,70.801,20.020,62.500,117.188,-13.672
1678793441.176,59.570,20.996,70.801,14.648,20.996
1678793441.180,34.668,32.715,81.055,-63.477,24.902
1678793441.184,18.066,35.645,77.148,2.441,20.508
1678793441.187,15.625,38.574,66.895,120.605,53.223
1678793441.191,48.340,40.039,65.918,137.695,25.391
1678793441.195,59.082,47.363,76.172,33.691,14.648
1678793441.199,34.180,62.012,85.449,-57.129,7.324
1678793441.203,1.953,61.523,85.449,-26.855,53.711
1678793441.207,-6.348,53.223,70.801,78.125,53.711
1678793441.211,20.508,53.711,65.918,123.047,2.441
1678793441.215,44.922,71.777,79.590,39.551,-30.273
1678793441.219,32.227,89.844,83.984,-48.828,6.348
1678793441.223,7.324,97.656,76.172,-34.668,61.523
1678793441.227,19.043,104.492,71.289,71.289,10.254
1678793441.230,40.527,101.074,61.523,128.418,-12.207
1678793441.234,53.711,111.816,69.824,56.641,-18.066
1678793441.238,33.691,133.301,82.031,-55.176,17.090
1678793441.242,10.742,163.574,80.566,-52.246,42.480
1678793441.246,10.254,192.383,71.289,60.059,29.785
1678793441.250,24.902,202.637,55.664,117.676,76.660
1678793441.254,50.293,221.191,60.059,52.246,49.805
1678793441.258,35.645,246.094,76.660,-51.758,-7.324
1678793441.262,16.113,258.789,78.125,-66.406,-13.184
1678793441.266,14.648,246.582,62.988,25.391,38.086
1678793441.270,29.297,224.609,59.570,112.305,24.902
1678793441.273,34.180,213.379,70.801,80.078,-28.809
1678793441.277,16.602,215.332,80.566,-32.715,6.348
1678793441.281,21.484,219.238,98.145,-55.176,4.883
1678793441.285,1.953,201.660,99.609,35.645,15.625
1678793441.289,-24.902,181.152,72.754,113.281,79.590
1678793441.293,19.043,184.082,70.312,92.773,53.711
1678793441.297,20.996,190.430,76.660,-26.855,34.668
1678793441.301,-16.113,193.359,82.031,-79.102,17.090
1678793441.305,-29.297,190.430,77.148,2.930,3.906
1678793441.309,-17.578,176.758,64.941,113.770,75.684
1678793441.313,15.625,169.922,69.824,116.211,25.391
1678793441.316,30.762,176.758,83.496,-2.930,-16.113
1678793441.320,22.949,183.594,88.867,-77.637,0.977
1678793441.324,-4.883,181.152,79.102,-8.789,54.199
1678793441.328,4.883,173.828,77.637,122.559,117.676
1678793441.332,39.551,162.598,72.754,122.559,29.785
1678793441.336,45.410,159.668,71.777,14.160,-13.672
1678793441.340,18.555,160.645,83.984,-61.523,63.477
1678793441.344,-18.555,155.273,83.984,-27.344,83.008
1678793441.348,-9.277,155.762,73.730,100.586,21.973
1678793441.352,30.273,155.273,68.848,129.395,14.648
1678793441.356,40.527,155.273,78.613,22.461,-9.277
1678793441.359,23.438,151.367,92.285,-68.848,29.297
1678793441.363,8.789,146.484,98.633,-29.785,10.742
1678793441.367,-5.859,135.254,83.008,89.355,28.320
1678793441.371,40.527,136.230,86.914,154.785,80.078
1678793441.375,68.359,147.461,100.098,64.453,30.273
1678793441.379,34.180,146.484,95.215,-57.617,28.809
1678793441.383,12.207,145.020,103.516,-26.855,0.000
1678793441.387,1.953,131.836,93.750,67.871,-43.945
1678793441.391,20.996,119.629,75.684,108.887,4.883
1678793441.395,47.852,124.512,88.379,53.223,63.477
1678793441.399,33.203,131.836,110.352,-58.594,57.129
1678793441.402,9.277,131.348,118.652,-64.941,9.277
1678793441.406,3.418,126.465,114.258,52.734,-12.695
1678793441.410,13.672,122.559,104.980,127.930,54.199
1678793441.414,45.898,126.465,106.934,82.520,69.336
1678793441.418,67.383,141.113,132.324,-23.438,-17.090
1678793441.422,27.832,142.090,126.465,-75.195,-22.949
1678793441.426,0.977,123.535,108.398,5.371,5.371
1678793441.430,21.973,116.211,110.840,102.051,43.457
1678793441.434,41.504,115.234,102.539,69.336,13.184
1678793441.438,39.062,117.188,107.422,-61.035,-1.465
1678793441.441,20.996,123.047,121.094,-89.844,52.246
